row,column,layer,node,Reach,Stage,Bottom,Conductanc,Conc,Width,Length,Thickness,K
"110","36","1","0","0",16.200000,16.141000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","23","1","0","0",16.170000,15.570000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","24","1","0","0",16.175000,15.874000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","38","1","0","0",16.205000,16.198000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","39","1","0","0",16.206000,16.096000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","4","1","0","0",16.076000,15.728000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","5","1","0","0",16.075000,15.399000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","6","1","0","0",16.074000,8.679000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","7","1","0","0",16.074000,11.204000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","22","1","0","0",16.170000,15.297000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","23","1","0","0",16.170000,13.758000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","24","1","0","0",16.174000,13.457000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","25","1","0","0",16.178000,12.503000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","26","1","0","0",16.183000,11.688000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","27","1","0","0",16.188000,11.124000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","28","1","0","0",16.191000,10.841000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","29","1","0","0",16.192000,10.930000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","30","1","0","0",16.192000,11.707000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","31","1","0","0",16.193000,12.870000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","32","1","0","0",16.194000,13.217000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","33","1","0","0",16.195000,13.975000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","34","1","0","0",16.196000,14.764000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","35","1","0","0",16.198000,15.419000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","36","1","0","0",16.200000,16.086000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","37","1","0","0",16.202000,15.754000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","37","1","0","0",16.202000,15.615000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","38","1","0","0",16.204000,14.752000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","39","1","0","0",16.207000,13.142000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","22","1","0","0",16.169000,15.604000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","40","1","0","0",16.208000,16.100000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"109","21","1","0","0",16.166000,15.594000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","4","1","0","0",16.079000,15.878000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","5","1","0","0",16.078000,14.771000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","6","1","0","0",16.078000,8.285000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","7","1","0","0",16.077000,12.332000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","21","1","0","0",16.165000,15.508000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","22","1","0","0",16.166000,13.640000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","23","1","0","0",16.169000,8.680000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","24","1","0","0",16.173000,9.098000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","25","1","0","0",16.178000,9.068000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","26","1","0","0",16.182000,9.006000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","27","1","0","0",16.187000,8.916000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","28","1","0","0",16.191000,8.480000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","29","1","0","0",16.192000,8.444000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","30","1","0","0",16.192000,8.378000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","31","1","0","0",16.193000,8.135000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","32","1","0","0",16.194000,7.684000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","33","1","0","0",16.195000,7.240000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","34","1","0","0",16.197000,6.752000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","35","1","0","0",16.198000,6.282000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","36","1","0","0",16.200000,5.859000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","37","1","0","0",16.202000,5.548000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","38","1","0","0",16.205000,5.279000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","39","1","0","0",16.208000,5.511000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","40","1","0","0",16.210000,15.924000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","3","1","0","0",16.079000,15.950000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"108","20","1","0","0",16.164000,15.430000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","4","1","0","0",16.082000,16.011000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","5","1","0","0",16.082000,11.062000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","6","1","0","0",16.081000,9.340000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","7","1","0","0",16.080000,13.672000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","20","1","0","0",16.163000,15.386000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","21","1","0","0",16.163000,14.339000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","22","1","0","0",16.165000,8.749000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","23","1","0","0",16.167000,9.801000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","24","1","0","0",16.172000,10.850000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","25","1","0","0",16.177000,10.494000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","26","1","0","0",16.182000,10.363000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","27","1","0","0",16.187000,10.636000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","28","1","0","0",16.191000,12.350000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","29","1","0","0",16.192000,9.950000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","30","1","0","0",16.192000,9.920000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","31","1","0","0",16.193000,9.811000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","32","1","0","0",16.194000,9.778000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","33","1","0","0",16.195000,9.785000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","34","1","0","0",16.197000,9.843000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
