row,column,node,zone,Rech,Conc,Depth
41,129,0,1,0.000247,0.1,0
41,130,0,1,0.000247,0.1,0
41,131,0,1,0.000247,0.1,0
41,132,0,1,0.000247,0.1,0
41,133,0,1,0.000247,0.1,0
42,119,0,1,0.000247,0.1,0
42,120,0,1,0.000247,0.1,0
42,121,0,1,0.000247,0.1,0
42,122,0,1,0.000247,0.1,0
42,123,0,1,0.000247,0.1,0
42,124,0,1,0.000247,0.1,0
42,125,0,1,0.000247,0.1,0
42,126,0,1,0.000247,0.1,0
42,127,0,1,0.000247,0.1,0
42,128,0,1,0.000247,0.1,0
42,129,0,1,0.000247,0.1,0
42,130,0,1,0.000247,0.1,0
42,131,0,1,0.000247,0.1,0
42,132,0,1,0.000247,0.1,0
42,133,0,1,0.000247,0.1,0
42,134,0,1,0.000247,0.1,0
43,120,0,1,0.000247,0.1,0
43,121,0,1,0.000247,0.1,0
43,122,0,1,0.000247,0.1,0
43,123,0,1,0.000247,0.1,0
43,124,0,1,0.000247,0.1,0
43,125,0,1,0.000247,0.1,0
43,126,0,1,0.000247,0.1,0
43,127,0,1,0.000247,0.1,0
43,128,0,1,0.000247,0.1,0
43,129,0,1,0.000247,0.1,0
43,130,0,1,0.000247,0.1,0
43,131,0,1,0.000247,0.1,0
43,132,0,1,0.000247,0.1,0
43,133,0,1,0.000247,0.1,0
43,134,0,1,0.000247,0.1,0
44,121,0,1,0.000247,0.1,0
44,122,0,1,0.000247,0.1,0
44,123,0,1,0.000247,0.1,0
44,124,0,1,0.000247,0.1,0
44,125,0,1,0.000247,0.1,0
44,126,0,1,0.000247,0.1,0
44,127,0,1,0.000247,0.1,0
44,128,0,1,0.000247,0.1,0
44,129,0,1,0.000247,0.1,0
44,130,0,1,0.000247,0.1,0
44,131,0,1,0.000247,0.1,0
44,132,0,1,0.000247,0.1,0
44,133,0,1,0.000247,0.1,0
44,134,0,1,0.000247,0.1,0
44,135,0,1,0.000247,0.1,0
45,122,0,1,0.000247,0.1,0
45,123,0,1,0.000247,0.1,0
45,124,0,1,0.000247,0.1,0
45,125,0,1,0.000247,0.1,0
45,126,0,1,0.000247,0.1,0
45,127,0,1,0.000247,0.1,0
45,128,0,1,0.000247,0.1,0
45,129,0,1,0.000247,0.1,0
45,130,0,1,0.000247,0.1,0
45,131,0,1,0.000247,0.1,0
45,132,0,1,0.000247,0.1,0
45,133,0,1,0.000247,0.1,0
45,134,0,1,0.000247,0.1,0
45,135,0,1,0.000247,0.1,0
45,136,0,1,0.000247,0.1,0
46,123,0,1,0.000247,0.1,0
46,124,0,1,0.000247,0.1,0
46,125,0,1,0.000247,0.1,0
46,126,0,1,0.000247,0.1,0
46,127,0,1,0.000247,0.1,0
46,128,0,1,0.000247,0.1,0
46,129,0,1,0.000247,0.1,0
46,130,0,1,0.000247,0.1,0
46,131,0,1,0.000247,0.1,0
46,132,0,1,0.000247,0.1,0
46,133,0,1,0.000247,0.1,0
46,134,0,1,0.000247,0.1,0
46,135,0,1,0.000247,0.1,0
46,136,0,1,0.000247,0.1,0
47,124,0,1,0.000247,0.1,0
47,125,0,1,0.000247,0.1,0
47,126,0,1,0.000247,0.1,0
47,127,0,1,0.000247,0.1,0
47,128,0,1,0.000247,0.1,0
47,129,0,1,0.000247,0.1,0
47,130,0,1,0.000247,0.1,0
47,131,0,1,0.000247,0.1,0
47,132,0,1,0.000247,0.1,0
47,133,0,1,0.000247,0.1,0
47,134,0,1,0.000247,0.1,0
47,135,0,1,0.000247,0.1,0
47,136,0,1,0.000247,0.1,0
47,137,0,1,0.000247,0.1,0
48,124,0,1,0.000247,0.1,0
48,125,0,1,0.000247,0.1,0
48,126,0,1,0.000247,0.1,0
